text,annotations
"this oil eventually could be produced by gravity orviscous forces.1,2in another series of experiments, oren studiedmobilization of waterflood residual oil by gas injection in water-wetconditions with micromodels.","Waterflooding, Gas injection, Experiments"
"050,000100,000150,000200,000250,000j-74j-75j-76j-77j-78j-79j-80j-81j-82j-83j-84j-85j-86j-87j-88j-89j-90j-91j-92j-93j-94j-95j-96j-97j-98j-99j-00j-01j-02j-03datewater injection rate (bwpd)figure 3 water injection history  eor by lean gas injection extensive studies were carried out to evaluate the possible applications of eor techniques1,2  in the handil field and re-injection of associated gas was found to be the economically most attractive option3.","Waterflooding, Gas injection"
"the injection of a lean gas in an oil reservoir is primarily an immiscible displacement process which, when the reservoir has already undergone waterflooding, becomes a double displacement process (ddp), also called gravity assisted tertiary gas injection4.","Waterflooding, Gas injection"
"figure 8 saturation map after waterflooding and after 8 years gi  one of the most interesting phenomena identified during the study was the effect of the so called figascyclingfl, which is defined as the ratio between the produced gas and the injected gas over the gas injection period.","Waterflooding, Gas injection"
"6  spe 110882 enchanced oil recovery (eor) the lean gas injection in an oil reservoir is primarily an immiscible displacement process which, when the reservoir has already undergone waterflooding, becomes a double displacement process (ddp), also called gravity assisted tertiary gas injection.","Waterflooding, Gas injection"
"saturation map after waterflooding and after 8 years of gas injection  one of the most interesting learning from the study is the optimum gas cycling rate, which is the ratio between the produced gas and the injected gas over the gas injection after gas injectiongravity drainage sorw   sorwg = 10  20 sorwproduction row 1 production row 2 production row 3 gas inj.","Waterflooding, Gas injection"
"most of the accumulations consist of a large columnof saturated oil underlying a gas cap, trapped in reservoirs withgood rock properties, and produced by water injection or strongnatural waterdrive.in 1995 five reservoirs representing nearly one-fifth of thefields total original oil in place (ooip)and which had reachedtheir final stage of waterflood development (58% of the total oil inplace had already been produced)were submitted to furtherdevelopment with lean-gas injection to increase the ultimate oilrecovery.","Waterflooding, Gas injection"
"at the end of 1995, five main-zone reservoirs, which repre-sented about 20% of the fields total ooipand which had reachedthe end of their development by waterflood (with an average oilrecovery factor of 58%), were submitted to further developmentby crestal injection of lean hydrocarbon gas.","Waterflooding, Gas injection"
the role of the inert gas injection is totransform the waterflood residual oil in the form of isolated ganglia(trapped by interfacial forces) into thin films separating the gas andwater phases.,"Waterflooding, Gas injection"
"candidate reservoirs for implementation of the gas-injectionproject were chosen according to the results of the numerical sim-ulations and the volumes of gas available for injection, the maincriteria being individual ooiplarger than 6 mmstb, initial oilcolumn larger than 70 m, average permeability better than 100 md,and clearly understood production history during previous second-ary waterflood development.initial projectfive handil field reservoirs, representing a combined 303mmstb, were selected for the initial phase of the project.","Waterflooding, Gas injection"
"thesereservoirs have porosity between 17 and 25%, connate water satu-ration from 15 to 19%, permeabilities between 100 and 2000 md,and initial oil columns from 120 to 185 m (see table 1).the high recovery factor after water injection58% on aver-ageindicated an excellent sweep efficiency considering that theresidual oil saturation after waterflooding is estimated at 28% fromcore displacements and reliable field correlations.production data at the end of the waterflood and openhole logdata from the gas-injection wells, which were drilled specifically andjust before the start of the gas injection, indicated that the periphericwater injection had flooded the reservoirs up to the level of their ini-tial gas/oil contact, leaving mainly capillary-trapped oil behind, asshown in fig.","Waterflooding, Gas injection"
"additional oil evaluation and baselineto evaluate the efficiency and the gain from the gas-injectionprocess, we determined what the production performance wouldhave been if the water injection had continued.","Waterflooding, Gas injection"
"0 50 100 150 200 250 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 qo, mbopd,  and  bs&w, % 0 200 400 600 800 1,000 1,200 1,400 gor, v/v water injection startup q o  total field q o  from reservoir developed by water injection gor bs&w table 1reservoir status at lean-gas-injection startupreservoirooip(mmbbl)(%)swinitial oilcolumn(m)gas cap(bcf)woc (msubsea)goc (msubsea)waterrise (msubsea)rf atend ofwi (%)h(m)a  24.62219120  0.91956183618405715b110.9222017225.82080190818774825c  36.8251518518.12160197619755715d  29.2221715527.62139198420008025e101.62215162  0.02228206720706225total303.0fig.4gas-zone status at end of water-injection period.","Waterflooding, Gas injection"
water injection was stoppedand the gas injection started at an initial rate of 55 mmscf/d for thefive reservoirs (revised to 67 mmscf/d shortly after startup) as thebest balance between speedier recovery and gas-front stability.,"Waterflooding, Gas injection"
"production performance under gas injectionduring the 5 months following the startup, oil production continuedto decline along its previous trend under water injection (fig.","Waterflooding, Gas injection"
"this period saw the change ofthe production-wells pattern, from the water-injection phase to thenew gas-injection phase, several updip wells were closed, the wellsof the first concentric row were opened, and most jobs for opti-mization of the perforations took place during that period.","Waterflooding, Gas injection"
"this isnearly twice what would have been achieved with water injection,as the comparison with the baseline gives an additional oili.e.,eor oil gainof 1.6 mmstb.gas injection and cyclingthe average gas-injection rate during the 3 years has remainedbelow its target because of the higher priority given at times to gasexport, 55 mmscf/d has been realized vs. 67 mmscf/d recom-mended.","Waterflooding, Gas injection"
"production of reservoirs under gas injection: comparison of water-injection  and gas-injection drives (history, baseline, actual) 0 1000 2000 3000 4000 5000 6000 7000 9401 9403 9405 9407 9409 9411 9501 9503 9505 9507 9509 9511 9601 9603 9605 9607 9609 9611 9701 9703 9705 9707 9709 9711 9801 9803 9805 9807 9809 9811 date daily oil rate, bopd actual baseline under gas injection under water injection","Waterflooding, Gas injection"
"the newsimulation entailed a revised geological description and a historymatching of more than 20 years of production under water injec-tion, which took into account the reservoir-fluid saturation status aslogged in the gas-injection wells at the end of the water-injectionperiod, and the history matching of one year under gas injection.","Waterflooding, Gas injection"
"the reservoir pressures, at bubblepoint at virgin conditions(2,800 psia to 3,200 psia), were depleted by around 1,000 psi at thestart of the gas-injection project because of the production history ofnatural depletion followed by water injection.","Waterflooding, Gas injection"
"this means that eventually 470 mmstb of the handilfield ooip, previously produced by water injection, will be sub-mitted to an innovative eor development that has now success-fully proved its potential at the field scale.conclusioncrestal injection of lean hydrocarbon gas into waterflooded, light-oil reservoirs is a new eor technique in the asia-pacific region.","Waterflooding, Gas injection"
"the down-dip peripheralareas of the field, where no gas cap existed, are producedusing the waterflood and miscible gas injection process figure 2 .","Waterflooding, Gas injection"
"as a result, gas injection was stopped in 2001 and water injection into the gas caps was started for pressure maintenance and to prevent oil from resaturating the gas cap.","Waterflooding, Gas injection"
"reservoir management history and field implementation of pattern floods at ewe during the initial ewe development planning, in the early 1980 s, primary, waterflood, and gas re-injection options were evaluated.","Waterflooding, Gas injection"
"during the alternating injection, besides water flooding, nitrogen can be used in gas flooding to improve the displacement efficiency.","Waterflooding, Gas injection"
"the no.2 core was tested with gas flooding, one cycle, two cycles and three cycles of alternating injection and water flooding.","Waterflooding, Gas injection"
"the test results indicated table 14 and fig.5 that water-nitrogen alternating injection could improve effectively the displacement efficiency after both water flooding and gas flooding, but finitrogen flooding water-nitrogen alternating injectionfl was better than fiwater flooding water-nitrogen alternating injectionfl.","Waterflooding, Gas injection"
"25 1 69 4 zhou boran, lin cunzeng and tian zhongyan fitest study of petrophysical property during water injectionfl, proceedings of 1996 international workshop on well logging during water flooding developmentpetroleum industry press, sept. 1996, 20-33 5 cao xueliang, guo ping, yang xuefeng and li shilun fianalysis of the feasibility of improving recovery factor by gas injection in low permeability reservoirsfl, natural gas industry, j .","Waterflooding, Gas injection"
"in the case of handil field, maintaining the baseline is done by implementation of gas lift, water injection, and gas injection.","Waterflooding, Gas injection"
"in a reservoir scale, after it has undergone water injection for improving sweep and pressure maintenance, lean gas injection is performed to immiscibly displace the remaining oil within the reservoir.","Waterflooding, Gas injection"
"the down-dip peripheralareas of the field, where no gas cap existed, are producedusing the waterflood and miscible gas injection process figure 2 .","Waterflooding, Gas injection"
"6 spe 110882 enchanced oil recovery eor the lean gas injection in an oil reservoir is primarily an immiscible displacement process which, when the reservoir has already undergone waterflooding, becomes a double displacement process ddp , also called gravity assisted tertiary gas injection.","Waterflooding, Gas injection"
"saturation map after waterflooding and after 8 years of gas injection one of the most interesting learning from the study is the optimum gas cycling rate, which is the ratio between the produced gas and the injected gas over the gas injection after gas injectiongravity drainage sorw sorwg 10 20 sorwproduction row 1 production row 2 production row 3 gas inj.","Waterflooding, Gas injection"
"main zone, between 1500 2350 mss, has 220 reservoirs with water injection and gas injection to maintain reservoir pressure and optimize oil production.","Waterflooding, Gas injection"
"further studies had also been well documented through microscopic visualization tests and coreflooding experiments both in sand packs and real reservoir cores.31, 37-42 one thing in common is that cwi obtains additional oil recovery than the conventional water flooding.","Waterflooding, Experiments"
experiment 1 was a conventional water flooding procedure performed in long core1.,"Waterflooding, Experiments"
"  27 27   experiment 3 was performed to quantify the level of increase in oil recovery by cwi after a conventional water flooding, which is called the tertiary cwi.","Waterflooding, Experiments"
experiment 4 was a conventional water flooding procedure performed in long core2.,"Waterflooding, Experiments"
