text,annotations
co2 flooding in weyburn reservoira laboratory j.,CO2 injection
north-south cross section oil gor gas injection bsw whfp 020004000600080001000012000jan-90jan-91jan-92jan-93jan-94jan-95jan-96jan-97jan-98jan-99jan-00jan-01jan-02jan-03jan-04qo (bopd)0102030405060708090100qgi (mmscfd)1st phasewi declinegas injection ratehigh gas export gas injection expected wi after water-flooded oil-rim  sorw ~ 25% sorw,Gas injection
"similar to connate water, there is in general a trend of increasing residual oil saturation as porosity decreases within each group.",others
"due to the heterogeneity of the field, complicated by dense faulting and water injection under an unfavorable mobility ratio, the operator needed to determine the candidates for the upcoming conversion campaign, not only the location of future wells but also what injection and production rates to implement.",Waterflooding
"9, coloured lines showing reservoir information 7 parameters for 117 miscible co2 flooding projects, line in yellow was lower threshold limit for respective ranges, while line in black is representing subject reservoir from bilal 2011 ",CO2 injection
the main pay zone is middle to upper miocene in age.,others
"the conclusions are that some reservoirs have experienced apiston-like displacement, while one has been subject to gas-frontfingering, and one may not have received all the injected gas.the benefit of the oil drainage in the gas-invaded zone hasbeen more evident in the reservoirs, which have the deeper andwider gas-cap expansion.",Gas injection
"this avoids the coolingof the core by air convection.the core can be placed horizontally or vertically, butvertical displacements by injecting the gases downwards aregenerally preferred to stabilize the displacements by gravity.in all experiments, the produced oil, water and gases areseparated.",Experiments
"due to the relatively low fracture gradient (about 0.70 psi/ft) found in the original producer, there were concerns about the low circulating rates required to remain below fracture gradient and the ability to gravel pack the well.",others
"moreover, higher co2 injection pressure caused an increase in the amount of co2 stored inside the model.",CO2 injection
"another conclusion drawn by moore and slobod from their analysis of the doublet model was that during a waterflood of a water-wet pore network, the tendency to trap oil in the larger pores becomes less as the viscous force capillary force ratio increases.",Waterflooding
"the siderite dissolution rates were derived from the seawater plus c02 injection in stage iii by matching effluent fe++ concentrations, 5 ppm at 80 deg f and 45 ppm at 195 deg f. applying the same rate constants derived from stage iii to the produced water injections with c02 in stage ii and without c02 in stage i resulted in a rapid convergence from the controlled dissolution to an equilibrium stage.",CO2 injection
the secondary cwi (experiment 2) recovered 20.3% ooip more oil than the conventional wi (experiment 1) while 10.8%ooip incremental oil was produced from the tertiary cwi (experiment 3).,Experiments
"main results of this study are presentedand discussed in the following.the reservoir oil used in all the laboratory experiments hasa density at 15 c of 857.3 kg m3, a fvf of 1.40 vol vol at17.1 mpa 92 c and a gor of 106 vol vol.isothermal oxidation reactor experiments.",Experiments
re-precipitation accelerates as pressure decreases (or ph rises) around the producer.,others
"tom standing aspo usa newsletter, november 5, 2007 oil extraction by miscible gas injection goes beyond conventional pressure maintenance by injecting a gas with specific properties, at pressures sufficient to create a highly mobile gas oil fluid phase that swells and fills pore space in the reservoir rock.",Gas injection
"6 cmtc 151476 in the bell creek area, the muddy formation is dominated by clean, high-porosity and high-permeability sandstones deposited in a near-shore marine environment that should be ideal for large-scale co2 injection.",CO2 injection
"more generally, thisexperiment allows to assess the reactivity of an oil with air ona large temperature range, and to characterize the oxidationreactions parameters.the interpretation of the kinetic calculations performedwith the results of isothermal disk reactor experiment isprovided in appendix.adiabatic disk reactor experiment.",Experiments
"afterwards, cac03 re-dissolves as more seawater breaks through and the ph declines.",others
"a simplifiedrepresentation of the high pressure, high temperature longtube used for these experiments is shown in figure 3.experimental device.",Experiments
the specific challenges with the plan exiting from the 9-5/8fl casing included:  drilling a 1100 m 8-1/2fl section with water based drilling fluid at a near horizontal hole angle with high friction factors (the longest 8-1/2fl hole section to be attempted by the team)  limitations on the drilling rig capabilities in terms of torque and pump pressure capacities  designing a complex three-dimensional wellbore to intersect and evaluate all targets (pressures and kh) while maintaining wellbore integrity  setting and using a whipstock deep in the wellbore at near-horizontal section and exiting from casing with mills.,others
this leads to a reduction of the residual oil saturation left by the waterflood.,Waterflooding
"the capillary pressures necessary to approach sorw in the laboratory waterflood experiments range between 8 and 40 psi, depending on the reservoir unit.","Waterflooding, Experiments"
"25 1 69 4 zhou boran, lin cunzeng and tian zhongyan fitest study of petrophysical property during water injectionfl, proceedings of 1996 international workshop on well logging during water flooding developmentpetroleum industry press, sept. 1996, 20-33 5 cao xueliang, guo ping, yang xuefeng and li shilun fianalysis of the feasibility of improving recovery factor by gas injection in low permeability reservoirsfl, natural gas industry, j .","Waterflooding, Gas injection"
"effect of injection pressure in order to study the effect of injection pressure, the simulations were run at pressures of p 3000, 4000, 5000, and 6000 kpa for each co2 injection scheme as mentioned earlier in this paper.",CO2 injection
4  otc 22560  drilling with a complex bottom hole assembly package where potential high shocks and vibrations could create tool failures.,others
"site characterization the overall purpose of the pcor partnership characterization activities at the bell creek site is to understand the reservoir and seal to 1 improve oil recovery, 2 predict co2 movement with modeling and simulation, 3 identify areas of risk and potential leakage pathways, and 4 develop an effective mva plan for both co2 eor and co2 storage aspects of this project.",CO2 injection
"the model outcome for the proposed plan indicated similar results to the i_0a location, but would save substantial cost and mitigate risks of extended reach drilling, costly pilot, and likely sidetracks searching for reservoir (which may be disconnected) when drilling far-removed from well control (uncertainty in velocity modeling beyond well control posed a significant risk in positioning i_0a).",others
"(prediction)optimized management-model initial prediction-model actual production 2.5 %5.1 %4.75 %gas cycling (%)01020304050607001234567year19-0n5 reservoirstarget (monitoring policy) 0200400600800100012001400160018002000nov-95apr-96sep-96feb-97jul-97dec-97may-98oct-98mar-99aug-99jan-00jun-00nov-00apr-01sep-01feb-02jul-02dec-02may-03oct-03monthsqo, bopd05101520253035qgi, mmscfdwi declineactualq-gireduced cycling actual wi decline gas injection no injection period",Gas injection
evaluation criteria of co2-eor and sequestration in china oil reservoirs 1.1 criteria establishment jj.taber et al (1997) concluded screening criteria of co2 flooding on the analysis of successful field application.,CO2 injection
waterflooding of a 16-wps model.,Waterflooding
"as with many light reservoir oils in the middle east, asphaltene contents are not sufficient to explain the changes in the observed c+ properties during gas injection processes2.",Gas injection
"at 60 percent seawater breakthrough, one carbonate phase completely dissolves (this will be discussed later), and the ph in the aqueous phase is no longer buffered by the carbonate.",others
integration of all types of tools and data provided aholistic reservoir analysis for the nwfb waterflood.,Waterflooding
"each short-core flood involved the following sequence of operations, starting with a core containing a known sot from a previous waterflood.",Waterflooding
"26 1 2006 6 he qiuxuan and wang zhiwei firesearch into gas injection development of low permeability oilfieldsfl petroleum geology and recovery efficiency, j 9 6 2002.",Gas injection
the behaviour of this project could be matched very well with cold-water injection only.,Waterflooding
the field comprises a ne-sw trending anticline about 14 km long and 8 km wide.,others
typical gas injection response can be seen in the fig.,Gas injection
" fiperformance evaluation of a mature miscible gas flood at prudhoe bayfl, spe 59326, 2000 spe doe improved oil recovery symposium, tulsa, oklahoma, 3-5 april 2000.",Gas injection
a third set of coreflood experiments were conducted with long core1 again.,Experiments
the main problem associated with co2 eor in heavy oil reservoirs is due to the extremely high mobility of co2 in comparison with that of the original heavy oil.,CO2 injection
"values of variables are times used that are properly scaled for the experiment in terms of the usual scaling factors, but that are not properly scaled with respect to the dimensionless group given below, which determines the residual oil saturation.",Experiments
"figure 6 typical well response eor well  after the start of the gas injection, a rapid response in production behavior of the eor reservoirs has been observed and the rate of decline was significantly improved.",Gas injection
"it is mainly due to the high minimum miscibility pressure, serious heterogeneity, gravity override and insufficient co2 sources.13, 14 how to combine the advantages of co2 flooding and water flooding while reducing the adverse effect becomes a challenge and an opportunity.","Waterflooding, CO2 injection"
"stiles, l. h. optimizing waterflood recovery in a mature flood, the fullerton clearfork unit, paper spe 6198 presented at the 51st atc e of spe, new orleans, oct. 3-6, 1976.",Waterflooding
"demonstrating the technical and economic viability of implementing cost-effective, risk-based mva strategies at a large-scale 1 million tons of co2 a year commercial co2 eor project such as the bell creek project will provide stakeholders with the real-world data necessary to move ccs technology deployment forward.",CO2 injection
the goal is to improve the waterflood operation across future years as a prediction period.,Waterflooding
"in this paper, we are examining the behavior of the enhanced waterflood stage of the process.",Waterflooding
the field consists of 555 accumulations and was developed by more than 350 wells with conventional oil recovery methods natural depletion and peripheral water injection.,Waterflooding
"based on those above, screening criteria of co2-eor and sequestration in changqing oilfield can be obtained as in table 1.",CO2 injection
"however, at a higher co2 injection pressure, injection of pure co2 slug resulted in a slightly higher accumulative heavy oil production in comparison with that in the injection of carbonated water slug and continuous carbonated waterflooding.","Waterflooding, CO2 injection"
"the injection of a lean gas in an oil reservoir is primarily an immiscible displacement process which, when the reservoir has already undergone waterflooding, becomes a double displacement process (ddp), also called gravity assisted tertiary gas injection4.","Waterflooding, Gas injection"
"as mentioned before, further enlargement of the lean gas injection project appears unattractive as the injection gas can also be exported.",Gas injection
"required reservoir permeability for chemical floods is higher than those required for the gas injection methods, but lower than reservoir permeability required for thermal methods.",Gas injection
"at stake for the san francisco field according to previous studies carried out in the san francisco field, it was apparent that there should be a possible gain in re-arranging the water-flooding scheme, in order to better drain saturation-favorable areas, detrimentally to other less attractive areas.",Waterflooding
"since cleaning was found to be the reason for the mismatch between the water-oil and mercury injection data, another cleaning method was investigated which is referred to as cleaning method (2) (hot soxhlett extraction followed by flow-through cleaning): the plugs were first cleaned using the above cleaning method (1) and then mounted in a hassler core holder at a confining pressure of 30 bars.",others
this causes excess co3--in the aqueous phase and subsequently results in more hc03-in the solution.,others
