text,annotations
co2 flooding in weyburn reservoira laboratory j.,CO2 injection
"9, coloured lines showing reservoir information 7 parameters for 117 miscible co2 flooding projects, line in yellow was lower threshold limit for respective ranges, while line in black is representing subject reservoir from bilal 2011 ",CO2 injection
"moreover, higher co2 injection pressure caused an increase in the amount of co2 stored inside the model.",CO2 injection
"the siderite dissolution rates were derived from the seawater plus c02 injection in stage iii by matching effluent fe++ concentrations, 5 ppm at 80 deg f and 45 ppm at 195 deg f. applying the same rate constants derived from stage iii to the produced water injections with c02 in stage ii and without c02 in stage i resulted in a rapid convergence from the controlled dissolution to an equilibrium stage.",CO2 injection
"6 cmtc 151476 in the bell creek area, the muddy formation is dominated by clean, high-porosity and high-permeability sandstones deposited in a near-shore marine environment that should be ideal for large-scale co2 injection.",CO2 injection
"effect of injection pressure in order to study the effect of injection pressure, the simulations were run at pressures of p 3000, 4000, 5000, and 6000 kpa for each co2 injection scheme as mentioned earlier in this paper.",CO2 injection
"site characterization the overall purpose of the pcor partnership characterization activities at the bell creek site is to understand the reservoir and seal to 1 improve oil recovery, 2 predict co2 movement with modeling and simulation, 3 identify areas of risk and potential leakage pathways, and 4 develop an effective mva plan for both co2 eor and co2 storage aspects of this project.",CO2 injection
evaluation criteria of co2-eor and sequestration in china oil reservoirs 1.1 criteria establishment jj.taber et al (1997) concluded screening criteria of co2 flooding on the analysis of successful field application.,CO2 injection
the main problem associated with co2 eor in heavy oil reservoirs is due to the extremely high mobility of co2 in comparison with that of the original heavy oil.,CO2 injection
"demonstrating the technical and economic viability of implementing cost-effective, risk-based mva strategies at a large-scale 1 million tons of co2 a year commercial co2 eor project such as the bell creek project will provide stakeholders with the real-world data necessary to move ccs technology deployment forward.",CO2 injection
"based on those above, screening criteria of co2-eor and sequestration in changqing oilfield can be obtained as in table 1.",CO2 injection
"at lower co2 injection pressure, the initial sharp increase in the amount of co2 stored is less pronounced.",CO2 injection
"in addition, sequestrating co2 by cwi is safer than that by bulk co2 injection.",CO2 injection
"the injected co2 will rapidly rise to the top layers, above the main producing interval, accumulating in the fractures.",CO2 injection
" cmtc 151480 3d stochastic reservoir model and fluid flow simulation of a co2-eor pilot in a fractured reservoir l. chiaramonte, lawerence livermore national laboratory, m.d.",CO2 injection
"as it can be seen from these figures, an increase in the co2 injection pressure leads to a corresponding increase in the amount of co2 stored inside the simulation model.",CO2 injection
"the advantages of carbon dioxide flooding are that co2 is very soluble in oils at reservoir pressure, it reduces the oil viscosity before the miscibility is achieved between the co2 and crude oil, and the co2 will stay dissolved in the crude oil.",CO2 injection
"in addition, it was observed that increase in the co2 injection pressure enhances the heavy oil recovery and subsequently causes more co2 to be stored.",CO2 injection
this work is another milestone towards planning for carbon dioxide flooding in an oil field of pakistan.,CO2 injection
pilot co2-eor simulations the projected co2-eor pilot will inject 52 tonnes/day or 1 mmcfd of supercritical co2 for six weeks.,CO2 injection
"in north american countries, application of co2-eor have been maturely developed for decades.",CO2 injection
"iptc 11563 deposition of fiasphaltenesfl during co2 injection and implications for eos description and reservoir performance jeff broad, spe, consultant, mohamed naguib ab majid, spe, tajjul ariffin, spe, arshad hussain, spe, ahmad bani basher, spe, qatar petroleum",CO2 injection
the clastic reservoirs within the muddy formation will be the target injection zone for the bell creek co2 eor and storage project.,CO2 injection
summary the bell creek demonstration project provides a unique opportunity to evaluate a large-scale 1 million tons a year combined co2 eor and co2 storage project in a clastic reservoir in southeastern montana.,CO2 injection
4 cmtc 151422 carbon dioxide flooding the co2 flooding is a recognized enhanced oil recovery technique to obtain high oil recovery from various types of oil reservoirs.,CO2 injection
"many researchers have explained that immiscible co2 flooding is an important, field-proven heavy oil recovery method, particularly suited for thin marginal, or otherwise poor heavy oil reservoirs.",CO2 injection
the co2 will be injected in the crest of the anticline in a gravity-stable flood where the objective is for the co2 to,CO2 injection
co2 injection for the geological storage in heavy oil reservoirs can also reduce its emissions and contribute towards development of clean fossil fuel production and climate change mitigation.,CO2 injection
"however, higher co2 injection pressure resulted in a higher accumulative heavy oil production.",CO2 injection
"the assessments include a regional geology assessment, storage site screening, and reservoir screening for co2 eor and eor potential and storage capacity calculations.",CO2 injection
it was observed that a larger co2 slug size can enhance the oil production only at the beginning of co2 injection.,CO2 injection
"assessment of co2 eor and its geo2storage potential in mature oil reservoirs , shengl i oilf ield , china[j].",CO2 injection
"in addition, comparison of the amount of co2 stored inside the model shows that at a lower co2 injection pressure, injection of a pure co2 slug resulted in a higher mass of co2 to be stored inside the simulation model in comparison with that in injection of carbonated water slug, as presented in table 2 and figure 5 a .",CO2 injection
"we use the equation of state (eos) from an in-house screening reservoir simulation done during the first planning stages of the co2-eor pilot in the tensleep (wadleigh, 2005).",CO2 injection
"our objective is to model the migration of the injected co2, as well as to obtain limits on the rates and volumes of co2 that can be injected, without compromising seal integrity.",CO2 injection
"it was also observed that in the runs where a pure co2 slug was injected into the model, the accumulative heavy oil production increased more quickly at the beginning of co2 injection in comparison with the runs where carbonated water was injected into the model.",CO2 injection
"the results of the bell creek project will provide insight regarding the impact of large-scale co2 injection on sink integrity, monitoring techniques, and regional applicability of implementing successful co2 storage projects within the context of eor.",CO2 injection
"considering complication by developed faults in changqing oilfield, co2 sequestration during co2-eor is strong recommended to meet environmental and economic benefits to prevent risk especially for reservoirs which are small in sequestration potential and far away from emission source.",CO2 injection
"as a result at a higher co2 injection pressure, the accumulative heavy oil production in the injection of a pure co2 slug is higher than that in the other two injection schemes.",CO2 injection
"we simulated this scenario as well as three alternative ones and compared these predictions with the simulated primary production in the field, without any co2 injection.",CO2 injection
