text,annotations
"After 30 years of production, the field is experiencing gradual increase in water production.",high water cut
Incremental water production was approximately more than 100Mstb/d.,high water cut
"Water cut jumped to 90% in 2 days, showing the disadvantage of waterflooding.",high water cut
"Cumulative water has reached 100MMstb, which forced the asset team to find alternative solutions.",high water cut
Water has been producing in very low rate after 2 months of air injection.,low water cut
Recovery factor of the field has only reached 10% since it started producing in 1960.,poor recovery
Experiments show that water can not efficiently sweep the oil causing high residual saturation.,poor recovery
Bypassed oil and oil ganglia is the main issue we encounter during this experiment.,poor recovery
"in all of them, oil recovery was less than that predicted from a pure primary production scenario due to thmentioned closuperiod of time was implemented, incremental oil recovery went up from 8 , in case 1, to 28 , in case 4, of the bc production.",poor recovery
the application of this optimized reservoir management strategy has already been rewarded by a substantial improvement of the reservoirs production fig.,maintain/increase production
"for the first contact, the equilibrium pressure increased by 6.46 mpa, and the equilibrium pressure increased by 2.16 mpa at the last contact.",others
"8 .at the end of the third year under gas injection,there were 10 wells that had clearly improved their performance insuch a way, such as decreased water cut.",low water cut
"fig.2.handil production profile since the field started to experience water breakthrough, and reservoir pressure, especially in the main zone, had also been depleting, infill drilling has regularly been performed to maintain the production.",pressure depletion
water production rate was declining when waterflooding was stopped.,low water cut
"in each test, cw was brought into contact with live crude oil in a high-temperature and high-pressure pvt cell.",others
the secondary cwi experiment 2 recovered 20.3 ooip more oil than the conventional wi experiment 1 while 10.8 ooip incremental oil was produced from the tertiary cwi experiment 3 .,high recovery
average reservoir pressure improves with injection and reaches to 210 kg cm2 by 2115ad.,maintain pressure
the handil eor lean gas injection project was started in november 1995 on five reservoirs and following its positive result was extended with six reservoirs in 2000.,positive result
coreflood results showed that both secondary and tertiary cwi recovered additional oil compared to water flooding.,high recovery
accessing this residual oil at the most cost effective way is the main challenge.,poor recovery
"the production has been increased by nearly 100 percents, from 12,500 bopd in 2003 to 23,000 bopd nowadays.",maintain/increase production
2 system pressure builds up immediately after cw was mixed with live crude oil in the pvt cell.,others
subscriber access provided by nottingham trent universityis published by the american chemical society.,others
css of super-heavy oil reservoir has seen high production decline and high operation cost.,low production
the project was successful and extended to the other six reservoirs in 2000.,positive result
"the previous decline of oil produc-tion has been stopped, and the oil rate is now stabilizing.",maintain/increase production
"in 2003, the field was producing at its lowest of 12,500 bopd.",low production
"figure 11 optimized versus achieved incremental oil production an optimum gor for the closure of producer wells was determined at 20,000 scf bbl for this reservoir but is probably strongly linked to the injection capacity available and the number of producer wells available in the following down dip row.",maintain/increase production
"theimmediate result was increaseof water cut, as the production was then coming from perforationsmore downdip than at the end of the waterflood.",high water cut
the production result gets poor and poor.,low production
the project boosted the production of the 5 large reservoirs and altered the overall decline rate of the field.,maintain/increase production
the volume of water and liberated gas were measured.,others
"in order to maintain the production plateau as well as the reservoir pressure, water injection was started in 1978 and it had helped to maintain the 160.000 bopd of production up to 1985, except for one year drop due to opec restriction.",maintain/increase production
"also, in block 6 the water flooding gets success with the recovery beyond 20 .",high recovery
the secondary process recovered 5.9 more oil than the tertiary process.,high recovery
"environmental and carbon dioxide issuesintegrated pvt and coreflooding studies of carbonatedwater injection in tight oil reservoirs a case studyjiandong zou, xinwei liao, zhiming chen, xiaoliang zhao,lingyu mu, hongyang chu, peng dong, and cuo guanenergy fuels, just accepted manuscript doi 10.1021 acs.energyfuels.9b01243 publication date web 23 jul 2019downloaded from pubs.acs.org on august 6, 2019just acceptedfijust acceptedfl manuscripts have been peer-reviewed and accepted for publication.",others
