content	label	ID
After 30 years of production, the field is experiencing gradual increase in water production.	high water cut	add1.txt
Incremental water production was approximately more than 100Mstb/d.	high water cut	add2.txt
Water cut jumped to 90% in 2 days, showing the disadvantage of waterflooding.	high water cut	add3.txt
Cumulative water has reached 100MMstb, which forced the asset team to find alternative solutions.	high water cut	add4.txt
Water has been producing in very low rate after 2 months of air injection.	low water cut	add5.txt
Recovery factor of the field has only reached 10% since it started producing in 1960.	poor recovery	add6.txt
Experiments show that water can not efficiently sweep the oil causing high residual saturation.	poor recovery	add7.txt
Bypassed oil and oil ganglia is the main issue we encounter during this experiment.	poor recovery	add8.txt
in all of them, oil recovery was less than that predicted from a pure primary production scenario due to thmentioned closuperiod of time was implemented, incremental oil recovery went up from 8 , in case 1, to 28 , in case 4, of the bc production.	poor recovery	1.txt
the application of this optimized reservoir management strategy has already been rewarded by a substantial improvement of the reservoirs production fig.	maintain/increase production	2.txt
for the first contact, the equilibrium pressure increased by 6.46 mpa, and the equilibrium pressure increased by 2.16 mpa at the last contact.	others	3.txt
8 .at the end of the third year under gas injection,there were 10 wells that had clearly improved their performance insuch a way, such as decreased water cut.	low water cut	4.txt
fig.2.handil production profile since the field started to experience water breakthrough, and reservoir pressure, especially in the main zone, had also been depleting, infill drilling has regularly been performed to maintain the production.	pressure depletion	5.txt
water production rate was declining when waterflooding was stopped.	low water cut	6.txt
in each test, cw was brought into contact with live crude oil in a high-temperature and high-pressure pvt cell.	others	7.txt
the secondary cwi experiment 2 recovered 20.3 ooip more oil than the conventional wi experiment 1 while 10.8 ooip incremental oil was produced from the tertiary cwi experiment 3 .	high recovery	8.txt
average reservoir pressure improves with injection and reaches to 210 kg cm2 by 2115ad.	maintain pressure	9.txt
the handil eor lean gas injection project was started in november 1995 on five reservoirs and following its positive result was extended with six reservoirs in 2000.	positive result	10.txt
coreflood results showed that both secondary and tertiary cwi recovered additional oil compared to water flooding.	high recovery	11.txt
accessing this residual oil at the most cost effective way is the main challenge.	poor recovery	12.txt
the production has been increased by nearly 100 percents, from 12,500 bopd in 2003 to 23,000 bopd nowadays.	maintain/increase production	13.txt
2 system pressure builds up immediately after cw was mixed with live crude oil in the pvt cell.	others	14.txt
subscriber access provided by nottingham trent universityis published by the american chemical society.	others	15.txt
css of super-heavy oil reservoir has seen high production decline and high operation cost.	low production	16.txt
the project was successful and extended to the other six reservoirs in 2000.	positive result	17.txt
the previous decline of oil produc-tion has been stopped, and the oil rate is now stabilizing.	maintain/increase production	18.txt
in 2003, the field was producing at its lowest of 12,500 bopd.	low production	19.txt
figure 11 optimized versus achieved incremental oil production an optimum gor for the closure of producer wells was determined at 20,000 scf bbl for this reservoir but is probably strongly linked to the injection capacity available and the number of producer wells available in the following down dip row.	maintain/increase production	20.txt
theimmediate result was increaseof water cut, as the production was then coming from perforationsmore downdip than at the end of the waterflood.	high water cut	21.txt
the production result gets poor and poor.	low production	22.txt
the project boosted the production of the 5 large reservoirs and altered the overall decline rate of the field.	maintain/increase production	23.txt
the volume of water and liberated gas were measured.	others	24.txt
in order to maintain the production plateau as well as the reservoir pressure, water injection was started in 1978 and it had helped to maintain the 160.000 bopd of production up to 1985, except for one year drop due to opec restriction.	maintain/increase production	25.txt
also, in block 6 the water flooding gets success with the recovery beyond 20 .	high recovery	26.txt
the secondary process recovered 5.9 more oil than the tertiary process.	high recovery	27.txt
environmental and carbon dioxide issuesintegrated pvt and coreflooding studies of carbonatedwater injection in tight oil reservoirs a case studyjiandong zou, xinwei liao, zhiming chen, xiaoliang zhao,lingyu mu, hongyang chu, peng dong, and cuo guanenergy fuels, just accepted manuscript doi 10.1021 acs.energyfuels.9b01243 publication date web 23 jul 2019downloaded from pubs.acs.org on august 6, 2019just acceptedfijust acceptedfl manuscripts have been peer-reviewed and accepted for publication.	others	28.txt
it gives 1.7 mmstb of cumulative production during the year and 4 mmstb of incremental reserves.	maintain/increase production	29.txt
recovery factors of the reservoirs under water injection have now reached 51 in average.	high recovery	30.txt
however, theresulting oil gain can compensate for the oil lost during the shut-in period fig.	maintain/increase production	31.txt
the results clearly show that cwi has a potential to increase oil recovery from tight oil reservoir cores in both secondary cwi and tertiary cwi schemes figure 15 .	high recovery	32.txt
coreflood experiments with different permeabilities show that the ultimate oil recovery of secondary cwi is higher than that of tertiary cwi.	high recovery	33.txt
note that technical editing may introduce minor changesto the manuscript text and or graphics which could affect content, and all legal disclaimers andethical guidelines that apply to the journal pertain.	others	34.txt
however, no copyright claim is made to original u.s. government works, or worksproduced by employees of any commonwealth realm crown government in the courseof their duties.	others	35.txt
infill drilling continued after 1985 as the field experienced a steady decline in production.	low production	36.txt
copyright american chemical society.	others	37.txt
polymer flooding has proven to lower water production in handil field.	low water cut	38.txt
the rate of water has been known to be problem in this area.	high water cut	39.txt
given this success, 6 additional reservoirs with 170 mmstb of oiip were included in the project in january 2000.	positive result	40.txt
the increase in system pressure is beneficial to maintain reservoir pressure for the studied tight oil reservoir.	maintain pressure	41.txt
water production jumped drastically when waterflooding started.	high water cut	42.txt
thenew monitoring policy has since succeeded in stopping the pressuredepletion, which, within this limited amount, is not considered tohave been detrimental to the reservoir performance.	maintain pressure	43.txt
tentatively doneevery 6 months, this well-production policy had been shown innumerical simulations to be an essential feature of the depletion-drive process, yielding a significant share of the production.	maintain/increase production	44.txt
2.steam flooding of shallow heavy oil reservoir has entered into later stage with serious steam channeling among wells and poor recovery results.	poor recovery	45.txt
with 1.6 mmstb of additional oil pro-duced during the first 3 years, the gas-injection project has alreadyyielded some u.s. 24 million assuming u.s. 15 bbl .	maintain/increase production	46.txt
the secondary process recovered more oil than the tertiary process.	high recovery	47.txt
thesereservoirs have porosity between 17 and 25 , connate water satu-ration from 15 to 19 , permeabilities between 100 and 2000 md,and initial oil columns from 120 to 185 m see table 1 .the high recovery factor after water injection 58 on aver-age indicated an excellent sweep efficiency considering that theresidual oil saturation after waterflooding is estimated at 28 fromcore displacements and reliable field correlations.production data at the end of the waterflood and openhole logdata from the gas-injection wells, which were drilled specifically andjust before the start of the gas injection, indicated that the periphericwater injection had flooded the reservoirs up to the level of their ini-tial gas oil contact, leaving mainly capillary-trapped oil behind, asshown in fig.	high recovery	48.txt
the cyclic steam stimulation css has entered into later stage, character by low oil production.	low production	49.txt
figure 2 production history per recovery mechanism natural depletion and water injection phase the shallow zone of the handil field which contains 160 reservoirs, experiences a strong aquifer drive and were very efficiently swept by it.	high recovery	50.txt
the reservoir pressures, at bubblepoint at virgin conditions 2,800 psia to 3,200 psia , were depleted by around 1,000 psi at thestart of the gas-injection project because of the production history ofnatural depletion followed by water injection.	pressure depletion	51.txt
oil swelling and viscosity reduction are both beneficial to improve tight oil reservoir ultimate oil recovery.	high recovery	52.txt
